towns
Leyte
Villaba
Matag Ob
Isabel
Merida
Capoocan
Kananga
Ormoc City
Carigara
Jaro
Barugo
Tunga
Babatngon
San Miguel
Alangalang
Tacloban City
Santa Fe
Pastrana
Palo
Dagami
Tanauan
Tabon Tabon
Tolosa
Albuera
Burauen
Julita
Dulag
La Paz
Mayorga
Macarthur
Javier
Baybay City
Abuyog
Mahaplag
Hindang
Hilongos
Bato
Matalom
